Week,Team#,Match1,Match2,Match3
1, 1    , 47&48 , 45&46 , 49&50  
1, 2    , T5&T6 , 5&6 , 25&26  
1, 3    , 49&50 , 11&12 , 1&2  
1, 4    , 1&2 , T1&T2 , 27&28  
1, 5    , 21&22 , 13&14 , T3&T4  
1, 6    , 47&48 , 11&12 , 3&4  
1, 7    , 9&10 , 27&28 , 25&26  
1, 8    , 13&14 , T3&T4 , T5&T6  
1, 9    , T1&T2 , 3&4 , 51&52  
1, 10   , 3&4 , 15&16 , T1&T2  
1, 11   , T5&T6 , 25&26 , 15&16  
1, 12   , 1&2 , 45&46 , T5&T6  
1, 13   , 21&22 , 7&8 , 47&48  
1, 14   , 45&46 , 7&8 , 9&10  
1, 15   , 7&8 , T5&T6 , T3&T4  
1, 16   , 5&6 , T7&T8 , 45&46  
1, 17   , 23&24 , 49&50 , 47&48  
1, 18   , 15&16 , 1&2 , 45&46  
1, 19   , 45&46 , T7&T8 , 3&4  
1, 20   , 11&12 , 21&22 , 5&6  
1, 21   , 7&8 , 49&50 , 13&14  
1, 22   , 9&10 , 21&22 , 7&8  
1, 23   , 51&52 , 9&10 , 27&28  
1, 24   , 23&24 , T3&T4 , 49&50  
1, 25   , 13&14 , 25&26 , 11&12  
1, 26   , T7&T8 , 23&24 , 7&8  
1, 27   , T7&T8 , 1&2 , 51&52  
1, 28   , 27&28 , 5&6 , 23&24  
1, 29   , 51&52 , 3&4 , T1&T2  
1, 30   , T1&T2 , 51&52 , 5&6  
1, 31   , 3&4 , T1&T2 , 9&10  
1, 32   , 5&6 , 27&28 , 15&16  
1, 33   , 27&28 , 23&24 , 13&14  
1, 34   , 25&26 , 51&52 , 11&12  
1, 35   , T3&T4 , T5&T6 , 21&22  
1, 36   , 49&50 , 47&48 , T7&T8  
1, 37   , 15&16 , 9&10 , T7&T8  
1, 38   , T3&T4 , 13&14 , 23&24  
1, 39   , 25&26 , 47&48 , 1&2  
1, 40   , 11&12 , 15&16 , 21&22  
2, 1    , 25&26 , 13&14 , T7&T8  
2, 2    , T5&T6 , 11&12 , 47&48  
2, 3    , 23&24 , T1&T2 , 21&22  
2, 4    , 7&8 , 21&22 , 45&46  
2, 5    , T3&T4 , T7&T8 , 25&26  
2, 6    , 9&10 , 5&6 , 27&28  
2, 7    , T3&T4 , 13&14 , T1&T2  
2, 8    , 15&16 , 9&10 , T5&T6  
2, 9    , 47&48 , 11&12 , T7&T8  
2, 10   , 5&6 , 25&26 , 49&50  
2, 11   , 5&6 , T3&T4 , 1&2  
2, 12   , 11&12 , 27&28 , 9&10  
2, 13   , 47&48 , 27&28 , 23&24  
2, 14   , 13&14 , 3&4 , 27&28  
2, 15   , 25&26 , 1&2 , 51&52  
2, 16   , 49&50 , 15&16 , T5&T6  
2, 17   , 27&28 , T3&T4 , 51&52  
2, 18   , T1&T2 , 47&48 , 7&8  
2, 19   , 51&52 , 7&8 , 45&46  
2, 20   , 7&8 , 23&24 , 3&4  
2, 21   , 9&10 , T7&T8 , 47&48  
2, 22   , 21&22 , 45&46 , T3&T4  
2, 23   , 3&4 , 49&50 , 21&22  
2, 24   , T1&T2 , 7&8 , 49&50  
2, 25   , 45&46 , 51&52 , 15&16  
2, 26   , T7&T8 , 15&16 , 1&2  
2, 27   , 11&12 , 23&24 , 15&16  
2, 28   , 21&22 , 49&50 , 5&6  
2, 29   , 45&46 , T5&T6 , 3&4  
