Week,Team#,Match1,Match2,Match3
1, 1    , T7&T8 , 11&12 , 55&56  
1, 2    , 47&48 , 51&52 , 15&16  
1, 3    , 27&28 , 53&54 , 11&12  
1, 4    , T1&T2 , T5&T6 , 53&54  
1, 5    , 7&8 , 45&46 , 51&52  
1, 6    , 13&14 , T7&T8 , 21&22  
1, 7    , 27&28 , 51&52 , T7&T8  
1, 8    , 53&54 , 23&24 , 7&8  
1, 9    , T5&T6 , 27&28 , 45&46  
1, 10   , 25&26 , 7&8 , 49&50  
1, 11   , T5&T6 , 53&54 , 25&26  
1, 12   , T1&T2 , 13&14 , 47&48  
1, 13   , 49&50 , 5&6 , 1&2  
1, 14   , 55&56 , 47&48 , 3&4  
1, 15   , 49&50 , 9&10 , 5&6  
1, 16   , 53&54 , 27&28 , T5&T6  
1, 17   , 11&12 , T1&T2 , 21&22  
1, 18   , 3&4 , T5&T6 , 55&56  
1, 19   , 23&24 , 21&22 , T3&T4  
1, 20   , 15&16 , T3&T4 , 49&50  
1, 21   , 9&10 , T7&T8 , 5&6  
1, 22   , 45&46 , 49&50 , 23&24  
1, 23   , 9&10 , T3&T4 , T7&T8  
1, 24   , 1&2 , T1&T2 , 7&8  
1, 25   , T3&T4 , 7&8 , 1&2  
1, 26   , 5&6 , 3&4 , 45&46  
1, 27   , 15&16 , 11&12 , 27&28  
1, 28   , 3&4 , 47&48 , T1&T2  
1, 29   , 5&6 , 55&56 , 23&24  
1, 30   , 21&22 , 15&16 , 11&12  
1, 31   , 11&12 , 9&10 , T5&T6  
1, 32   , 51&52 , 15&16 , 47&48  
1, 33   , 55&56 , 49&50 , T3&T4  
1, 34   , 13&14 , 55&56 , 9&10  
1, 35   , 7&8 , 1&2 , 3&4  
1, 36   , 45&46 , 1&2 , 53&54  
1, 37   , 47&48 , 3&4 , 13&14  
1, 38   , 1&2 , 25&26 , 13&14  
1, 39   , 51&52 , 5&6 , 15&16  
1, 40   , 23&24 , 13&14 , 9&10  
1, 41   , 25&26 , 21&22 , 27&28  
1, 42   , T7&T8 , 23&24 , 51&52  
1, 43   , T3&T4 , 25&26 , T1&T2  
1, 44   , 21&22 , 45&46 , 25&26  
2, 1    , T5&T6 , 21&22 , 11&12  
2, 2    , 7&8 , 23&24 , 5&6  
2, 3    , 5&6 , T7&T8 , 49&50  
2, 4    , 1&2 , 7&8 , T3&T4  
2, 5    , 21&22 , 7&8 , 51&52  
2, 6    , 45&46 , 1&2 , 51&52  
2, 7    , 21&22 , 15&16 , 13&14  
2, 8    , 25&26 , 11&12 , T7&T8  
2, 9    , T3&T4 , 9&10 , 7&8  
2, 10   , 51&52 , 21&22 , 49&50  
