Week,Team#,Match1,Match2,Match3
1, 1    , 1&2 , 21&22 , T1&T2  
1, 2    , 9&10 , 25&26 , 53&54  
1, 3    , 51&52 , 23&24 , 11&12  
1, 4    , 15&16 , 15&16 , 7&8  
1, 5    , 23&24 , 5&6 , 53&54  
1, 6    , 5&6 , 45&46 , T5&T6  
1, 7    , 11&12 , 7&8 , 21&22  
1, 8    , 51&52 , 21&22 , T7&T8  
1, 9    , 45&46 , T5&T6 , T5&T6  
1, 10   , 7&8 , 49&50 , 49&50  
1, 11   , T7&T8 , 53&54 , 1&2  
1, 12   , 15&16 , 13&14 , 55&56  
1, 13   , 49&50 , 9&10 , 13&14  
1, 14   , 53&54 , 53&54 , 13&14  
1, 15   , T5&T6 , 13&14 , 5&6  
1, 16   , 9&10 , 55&56 , 27&28  
1, 17   , 49&50 , 49&50 , 3&4  
1, 18   , 47&48 , 7&8 , 45&46  
1, 19   , 11&12 , 3&4 , 15&16  
1, 20   , T5&T6 , 11&12 , 49&50  
1, 21   , 45&46 , 5&6 , 1&2  
1, 22   , 55&56 , 1&2 , 45&46  
1, 23   , T3&T4 , 27&28 , 11&12  
1, 24   , T7&T8 , T7&T8 , 21&22  
1, 25   , 3&4 , T7&T8 , 47&48  
1, 26   , 27&28 , T5&T6 , 7&8  
1, 27   , 5&6 , 25&26 , 27&28  
1, 28   , 3&4 , T1&T2 , T3&T4  
1, 29   , T1&T2 , T1&T2 , 55&56  
1, 30   , 21&22 , 51&52 , 5&6  
1, 31   , 1&2 , 55&56 , 15&16  
1, 32   , T3&T4 , 3&4 , 23&24  
1, 33   , 47&48 , 23&24 , 51&52  
1, 34   , 21&22 , T3&T4 , T1&T2  
1, 35   , 13&14 , T3&T4 , 3&4  
1, 36   , 13&14 , 47&48 , 9&10  
1, 37   , 7&8 , 15&16 , 25&26  
1, 38   , 27&28 , 9&10 , 51&52  
1, 39   , T1&T2 , 45&46 , 25&26  
1, 40   , 55&56 , 47&48 , 23&24  
1, 41   , 25&26 , 11&12 , 47&48  
1, 42   , 53&54 , 27&28 , T3&T4  
1, 43   , 25&26 , 51&52 , T7&T8  
1, 44   , 23&24 , 1&2 , 9&10  
2, 1    , T5&T6 , 21&22 , 13&14  
2, 2    , 27&28 , 7&8 , 47&48  
2, 3    , 7&8 , 1&2 , T7&T8  
2, 4    , 55&56 , 55&56 , 13&14  
2, 5    , T1&T2 , T7&T8 , 1&2  
2, 6    , 51&52 , 1&2 , 7&8  
2, 7    , 47&48 , T3&T4 , 11&12  
2, 8    , 25&26 , 15&16 , 25&26  
2, 9    , 53&54 , 21&22 , T5&T6  
2, 10   , 25&26 , 25&26 , 49&50  
2, 11   , 1&2 , 3&4 , 53&54  
2, 12   , T1&T2 , 27&28 , T7&T8  
2, 13   , 9&10 , 5&6 , T3&T4  
2, 14   , 13&14 , 7&8 , 5&6  
2, 15   , 21&22 , 49&50 , 27&28  
2, 16   , 15&16 , 49&50 , 7&8  
2, 17   , T3&T4 , T7&T8 , 55&56  
2, 18   , T5&T6 , 51&52 , 5&6  
2, 19   , 55&56 , T5&T6 , 23&24  
2, 20   , 13&14 , 13&14 , 21&22  
2, 21   , T7&T8 , 45&46 , 11&12  
2, 22   , 27&28 , 11&12 , 1&2  
2, 23   , 23&24 , 5&6 , 45&46  
2, 24   , 45&46 , 47&48 , T1&T2  
2, 25   , 11&12 , 55&56 , 15&16  
2, 26   , T3&T4 , 53&54 , 53&54  
2, 27   , 49&50 , 23&24 , 25&26  
2, 28   , 3&4 , T3&T4 , 9&10  
2, 29   , 15&16 , 15&16 , 21&22  
2, 30   , 53&54 , T1&T2 , T3&T4  
2, 31   , 1&2 , 11&12 , 27&28  
2, 32   , 47&48 , 9&10 , T1&T2  
2, 33   , 11&12 , 25&26 , 23&24  
2, 34   , 9&10 , 47&48 , 3&4  
2, 35   , 7&8 , 3&4 , 9&10  
2, 36   , 5&6 , 9&10 , 49&50  
2, 37   , 3&4 , 23&24 , 3&4  
2, 38   , 49&50 , 27&28 , 15&16  
2, 39   , 23&24 , 45&46 , T5&T6  
2, 40   , 21&22 , 51&52 , 45&46  
2, 41   , T7&T8 , T1&T2 , 51&52  
2, 42   , 51&52 , T5&T6 , 51&52  
2, 43   , 5&6 , 13&14 , 55&56  
2, 44   , 45&46 , 53&54 , 47&48  
3, 1    , 27&28 , 27&28 , 11&12  
3, 2    , 7&8 , 23&24 , T5&T6  
3, 3    , 45&46 , 7&8 , 5&6  
3, 4    , 53&54 , T3&T4 , 49&50  
3, 5    , 21&22 , 51&52 , 9&10  
3, 6    , T7&T8 , 27&28 , 27&28  
3, 7    , T3&T4 , 3&4 , 27&28  
3, 8    , 1&2 , 49&50 , T1&T2  
3, 9    , 9&10 , 25&26 , 45&46  
3, 10   , 51&52 , T3&T4 , 3&4  
3, 11   , 55&56 , 25&26 , T7&T8  
3, 12   , 49&50 , 21&22 , 13&14  
3, 13   , 47&48 , 9&10 , 55&56  
3, 14   , 5&6 , 53&54 , 9&10  
3, 15   , 23&24 , 1&2 , 1&2  
3, 16   , 27&28 , 55&56 , 23&24  
3, 17   , 3&4 , 3&4 , 51&52  
3, 18   , 13&14 , T7&T8 , 7&8  
3, 19   , 11&12 , 15&16 , 53&54  
3, 20   , 25&26 , T5&T6 , T1&T2  
3, 21   , 51&52 , 13&14 , 49&50  
3, 22   , 1&2 , 47&48 , 13&14  
3, 23   , 25&26 , T1&T2 , 51&52  
3, 24   , 13&14 , 15&16 , T5&T6  
3, 25   , 5&6 , 5&6 , T7&T8  
3, 26   , 11&12 , T5&T6 , 25&26  
3, 27   , 9&10 , 53&54 , 21&22  
3, 28   , T7&T8 , 51&52 , 23&24  
3, 29   , 47&48 , 47&48 , 11&12  
3, 30   , 15&16 , T1&T2 , 47&48  
3, 31   , 7&8 , 49&50 , T3&T4  
3, 32   , T5&T6 , 13&14 , 1&2  
3, 33   , T5&T6 , 9&10 , 21&22  
3, 34   , 45&46 , 55&56 , 7&8  
3, 35   , 53&54 , 1&2 , 55&56  
3, 36   , 21&22 , 11&12 , 15&16  
3, 37   , 49&50 , 45&46 , 5&6  
3, 38   , T1&T2 , 45&46 , 15&16  
3, 39   , 55&56 , T7&T8 , 47&48  
3, 40   , 3&4 , 23&24 , 3&4  
3, 41   , 23&24 , 11&12 , 53&54  
3, 42   , T1&T2 , 5&6 , T3&T4  
3, 43   , T3&T4 , 21&22 , 25&26  
3, 44   , 15&16 , 7&8 , 45&46  
4, 1    , 13&14 , 55&56 , T5&T6  
4, 2    , 21&22 , 7&8 , T3&T4  
4, 3    , 23&24 , 13&14 , 13&14  
4, 4    , 1&2 , 9&10 , 1&2  
4, 5    , 51&52 , T7&T8 , 45&46  
4, 6    , 7&8 , 47&48 , 47&48  
4, 7    , 3&4 , T7&T8 , 1&2  
4, 8    , 45&46 , 51&52 , 27&28  
4, 9    , 47&48 , 7&8 , T1&T2  
4, 10   , 11&12 , 11&12 , 25&26  
4, 11   , 27&28 , 27&28 , 13&14  
4, 12   , 45&46 , 47&48 , T7&T8  
4, 13   , 23&24 , 21&22 , 51&52  
4, 14   , 3&4 , 53&54 , 49&50  
4, 15   , T1&T2 , 9&10 , 21&22  
4, 16   , 25&26 , 15&16 , 23&24  
4, 17   , 1&2 , 45&46 , T3&T4  
4, 18   , 21&22 , 5&6 , 27&28  
4, 19   , 55&56 , 3&4 , 47&48  
4, 20   , 15&16 , 23&24 , 9&10  
4, 21   , 49&50 , 53&54 , 11&12  
4, 22   , 55&56 , 1&2 , 51&52  
4, 23   , 51&52 , 25&26 , 25&26  
4, 24   , T3&T4 , 51&52 , 15&16  
4, 25   , T5&T6 , 49&50 , 9&10  
4, 26   , 25&26 , 21&22 , 15&16  
4, 27   , 53&54 , 13&14 , T5&T6  
4, 28   , 13&14 , 45&46 , 53&54  
4, 29   , T7&T8 , T1&T2 , 55&56  
4, 30   , 7&8 , T1&T2 , 5&6  
4, 31   , 5&6 , T5&T6 , 49&50  
4, 32   , 9&10 , 27&28 , 45&46  
4, 33   , 15&16 , 25&26 , 23&24  
4, 34   , 5&6 , T3&T4 , 21&22  
4, 35   , T3&T4 , 5&6 , 55&56  
4, 36   , 49&50 , T5&T6 , 7&8  
4, 37   , T1&T2 , 1&2 , 5&6  
4, 38   , T7&T8 , 15&16 , 3&4  
4, 39   , 9&10 , 23&24 , 7&8  
4, 40   , 27&28 , 49&50 , 53&54  
4, 41   , 53&54 , T3&T4 , 3&4  
4, 42   , 47&48 , 11&12 , T7&T8  
4, 43   , 11&12 , 55&56 , T1&T2  
4, 44   , T5&T6 , 3&4 , 11&12  
5, 1    , T1&T2 , T5&T6 , 55&56  
5, 2    , 49&50 , 15&16 , 21&22  
5, 3    , 21&22 , 53&54 , 15&16  
5, 4    , 23&24 , T1&T2 , 7&8  
5, 5    , 27&28 , T7&T8 , 1&2  
5, 6    , 53&54 , 11&12 , 9&10  
5, 7    , 49&50 , 45&46 , T3&T4  
5, 8    , 9&10 , 27&28 , 7&8  
5, 9    , 23&24 , 21&22 , T5&T6  
5, 10   , 25&26 , 49&50 , 9&10  
5, 11   , 47&48 , 13&14 , T1&T2  
5, 12   , T1&T2 , 1&2 , T1&T2  
5, 13   , T5&T6 , 11&12 , T5&T6  
5, 14   , 7&8 , T1&T2 , 13&14  
5, 15   , 47&48 , 21&22 , 23&24  
5, 16   , 15&16 , 9&10 , 25&26  
5, 17   , 53&54 , 23&24 , 45&46  
5, 18   , T7&T8 , 47&48 , 3&4  
5, 19   , 55&56 , T5&T6 , T7&T8  
5, 20   , T5&T6 , 3&4 , 51&52  
5, 21   , 45&46 , 27&28 , T7&T8  
5, 22   , 13&14 , 7&8 , 5&6  
5, 23   , 5&6 , 51&52 , 49&50  
5, 24   , 11&12 , 25&26 , 25&26  
5, 25   , T7&T8 , 1&2 , 47&48  
5, 26   , 3&4 , 55&56 , 47&48  
5, 27   , 45&46 , 47&48 , T3&T4  
5, 28   , 51&52 , 51&52 , 21&22  
5, 29   , 55&56 , 53&54 , 23&24  
5, 30   , 13&14 , 55&56 , 27&28  
5, 31   , 51&52 , T3&T4 , 45&46  
5, 32   , 7&8 , 5&6 , 5&6  
5, 33   , T3&T4 , 25&26 , 53&54  
5, 34   , 1&2 , 45&46 , 1&2  
5, 35   , 27&28 , T3&T4 , 55&56  
5, 36   , 15&16 , 13&14 , 51&52  
5, 37   , 11&12 , 23&24 , 53&54  
5, 38   , 5&6 , 7&8 , 11&12  
5, 39   , 25&26 , 9&10 , 15&16  
5, 40   , 21&22 , 3&4 , 11&12  
5, 41   , 3&4 , 5&6 , 3&4  
5, 42   , 1&2 , 15&16 , 27&28  
5, 43   , T3&T4 , T7&T8 , 13&14  
5, 44   , 9&10 , 49&50 , 49&50  
6, 1    , T3&T4 , T1&T2 , T7&T8  
6, 2    , 49&50 , 1&2 , 3&4  
6, 3    , 15&16 , 55&56 , T1&T2  
6, 4    , 15&16 , 25&26 , 25&26  
6, 5    , 13&14 , 7&8 , 51&52  
6, 6    , 45&46 , 5&6 , 23&24  
6, 7    , T1&T2 , 15&16 , 1&2  
6, 8    , 25&26 , 53&54 , 45&46  
6, 9    , 1&2 , 7&8 , 21&22  
6, 10   , 49&50 , 21&22 , T7&T8  
6, 11   , 55&56 , 3&4 , 47&48  
6, 12   , 11&12 , 23&24 , 15&16  
6, 13   , 11&12 , T5&T6 , 11&12  
6, 14   , T5&T6 , 47&48 , 27&28  
6, 15   , 51&52 , 27&28 , 51&52  
6, 16   , T7&T8 , 11&12 , 5&6  
6, 17   , 53&54 , 3&4 , 5&6  
6, 18   , 9&10 , 11&12 , 15&16  
6, 19   , T5&T6 , 49&50 , 53&54  
6, 20   , T1&T2 , 25&26 , 53&54  
6, 21   , 51&52 , 1&2 , 7&8  
6, 22   , 1&2 , 21&22 , T5&T6  
6, 23   , T7&T8 , 49&50 , 13&14  
6, 24   , 21&22 , 9&10 , T5&T6  
6, 25   , 27&28 , T7&T8 , 9&10  
6, 26   , 23&24 , T1&T2 , 55&56  
6, 27   , 47&48 , 27&28 , 55&56  
6, 28   , 25&26 , T5&T6 , 49&50  
6, 29   , 13&14 , 45&46 , 23&24  
6, 30   , 53&54 , 13&14 , 45&46  
6, 31   , 7&8 , 9&10 , 7&8  
6, 32   , T3&T4 , 51&52 , T3&T4  
6, 33   , 55&56 , T3&T4 , 1&2  
6, 34   , 27&28 , 45&46 , 3&4  
6, 35   , 5&6 , T7&T8 , T3&T4  
6, 36   , 45&46 , 55&56 , 13&14  
6, 37   , 3&4 , 53&54 , 11&12  
6, 38   , 7&8 , 13&14 , 21&22  
6, 39   , 47&48 , T3&T4 , 9&10  
6, 40   , 23&24 , 23&24 , 27&28  
6, 41   , 21&22 , 15&16 , 49&50  
6, 42   , 3&4 , 51&52 , 47&48  
6, 43   , 5&6 , 5&6 , T1&T2  
6, 44   , 9&10 , 47&48 , 25&26  
7, 1    , 55&56 , 11&12 , 25&26  
7, 2    , 25&26 , 13&14 , 27&28  
7, 3    , 25&26 , 9&10 , T5&T6  
7, 4    , 21&22 , 25&26 , 47&48  
7, 5    , T5&T6 , T3&T4 , 9&10  
7, 6    , 45&46 , T3&T4 , 51&52  
7, 7    , 13&14 , 1&2 , 15&16  
7, 8    , 3&4 , 1&2 , 53&54  
7, 9    , T1&T2 , 55&56 , T3&T4  
7, 10   , 47&48 , 51&52 , T1&T2  
7, 11   , 3&4 , 51&52 , 23&24  
7, 12   , T1&T2 , T5&T6 , 1&2  
7, 13   , T7&T8 , 49&50 , 47&48  
7, 14   , 55&56 , T1&T2 , 53&54  
7, 15   , 11&12 , 5&6 , T1&T2  
7, 16   , 7&8 , T5&T6 , 9&10  
7, 17   , 5&6 , 53&54 , 13&14  
