Week,Team#,Match1,Match2,Match3
1, 1    , 7&8 , 5&6 , 27&28  
1, 2    , 5&6 , 7&8 , 25&26  
1, 3    , 25&26 , T7&T8 , 21&22  
1, 4    , 23&24 , 25&26 , 13&14  
1, 5    , 47&48 , 15&16 , 9&10  
1, 6    , T5&T6 , 9&10 , 15&16  
1, 7    , 49&50 , 51&52 , T5&T6  
1, 8    , 3&4 , 7&8 , 49&50  
1, 9    , T3&T4 , T7&T8 , 45&46  
1, 10   , T3&T4 , 49&50 , 7&8  
1, 11   , T1&T2 , 23&24 , T1&T2  
1, 12   , 13&14 , 25&26 , 47&48  
1, 13   , 11&12 , 1&2 , 49&50  
1, 14   , T1&T2 , 3&4 , 5&6  
1, 15   , 23&24 , 21&22 , 23&24  
1, 16   , 3&4 , 5&6 , 11&12  
1, 17   , 51&52 , 51&52 , 15&16  
1, 18   , 7&8 , 1&2 , T5&T6  
1, 19   , T7&T8 , T5&T6 , 3&4  
1, 20   , 5&6 , 27&28 , 1&2  
1, 21   , 25&26 , 45&46 , 11&12  
1, 22   , 27&28 , 11&12 , 7&8  
1, 23   , 1&2 , 13&14 , 45&46  
1, 24   , 51&52 , T5&T6 , T7&T8  
1, 25   , 21&22 , 23&24 , 1&2  
1, 26   , 21&22 , 11&12 , 51&52  
1, 27   , 49&50 , 47&48 , 9&10  
1, 28   , T7&T8 , 27&28 , 25&26  
1, 29   , 9&10 , 49&50 , T3&T4  
1, 30   , 27&28 , 13&14 , 13&14  
1, 31   , 11&12 , 21&22 , 3&4  
1, 32   , 9&10 , T1&T2 , 47&48  
1, 33   , T5&T6 , 15&16 , 27&28  
1, 34   , 13&14 , 47&48 , 21&22  
1, 35   , 1&2 , T3&T4 , 51&52  
1, 36   , 45&46 , 3&4 , 23&24  
1, 37   , 15&16 , 45&46 , T7&T8  
1, 38   , 15&16 , T1&T2 , T3&T4  
1, 39   , 45&46 , T3&T4 , 5&6  
1, 40   , 47&48 , 9&10 , T1&T2  
2, 1    , 25&26 , T3&T4 , T7&T8  
