Week,Team#,Match1,Match2,Match3
4, 10   , T1&T2 , 7&8 , 15&16  
4, 11   , T7&T8 , 15&16 , 47&48  
4, 12   , 21&22 , T7&T8 , 25&26  
4, 13   , T5&T6 , 25&26 , 27&28  
4, 14   , 3&4 , T5&T6 , 15&16  
4, 15   , 3&4 , 3&4 , 23&24  
4, 16   , 9&10 , 11&12 , 13&14  
4, 17   , 51&52 , 27&28 , T7&T8  
4, 18   , T5&T6 , 45&46 , 45&46  
4, 19   , 7&8 , T5&T6 , 9&10  
4, 20   , 15&16 , 23&24 , 51&52  
4, 21   , 7&8 , 21&22 , 21&22  
4, 22   , T3&T4 , 51&52 , 1&2  
4, 23   , T7&T8 , 7&8 , 51&52  
4, 24   , 5&6 , 25&26 , 3&4  
4, 25   , T1&T2 , 5&6 , 7&8  
4, 26   , 21&22 , T3&T4 , T1&T2  
4, 27   , 1&2 , T1&T2 , 5&6  
4, 28   , 47&48 , 45&46 , 23&24  
4, 29   , 49&50 , T3&T4 , 21&22  
4, 30   , 45&46 , 11&12 , 11&12  
4, 31   , 25&26 , 9&10 , 9&10  
4, 32   , 47&48 , 5&6 , 49&50  
4, 33   , 11&12 , 15&16 , 45&46  
4, 34   , 11&12 , 27&28 , 7&8  
4, 35   , T3&T4 , 3&4 , T3&T4  
4, 36   , 13&14 , T7&T8 , T1&T2  
4, 37   , 25&26 , 13&14 , T5&T6  
4, 38   , 49&50 , 1&2 , 49&50  
4, 39   , 1&2 , 1&2 , T3&T4  
4, 40   , 27&28 , 23&24 , 5&6  
5, 1    , 1&2 , 11&12 , T3&T4  
5, 2    , 45&46 , 11&12 , 1&2  
5, 3    , 21&22 , 27&28 , 45&46  
5, 4    , 11&12 , 51&52 , 15&16  
5, 5    , 23&24 , 25&26 , 11&12  
5, 6    , 7&8 , 47&48 , 13&14  
5, 7    , 25&26 , 5&6 , 11&12  
5, 8    , T1&T2 , 9&10 , 7&8  
5, 9    , 27&28 , T5&T6 , 47&48  
5, 10   , 3&4 , T1&T2 , 7&8  
5, 11   , 25&26 , 15&16 , 51&52  
5, 12   , T7&T8 , 7&8 , T7&T8  
5, 13   , 9&10 , 27&28 , 47&48  
5, 14   , 11&12 , 5&6 , 9&10  
5, 15   , T5&T6 , 21&22 , T5&T6  
5, 16   , 5&6 , T3&T4 , T1&T2  
5, 17   , 23&24 , T1&T2 , 23&24  
5, 18   , 13&14 , 15&16 , T5&T6  
5, 19   , T3&T4 , 9&10 , 27&28  
5, 20   , 1&2 , 47&48 , 5&6  
5, 21   , 15&16 , 1&2 , 15&16  
5, 22   , 15&16 , 3&4 , 49&50  
5, 23   , 49&50 , 45&46 , T3&T4  
5, 24   , 51&52 , 7&8 , 3&4  
5, 25   , T3&T4 , T3&T4 , T7&T8  
5, 26   , T5&T6 , T7&T8 , 51&52  
5, 27   , 51&52 , 13&14 , 21&22  
5, 28   , 49&50 , 25&26 , T1&T2  
5, 29   , 21&22 , 13&14 , 9&10  
5, 30   , T1&T2 , T5&T6 , 49&50  
5, 31   , 3&4 , T7&T8 , 25&26  
5, 32   , T7&T8 , 49&50 , 25&26  
5, 33   , 9&10 , 23&24 , 13&14  
5, 34   , 45&46 , 1&2 , 5&6  
5, 35   , 7&8 , 23&24 , 1&2  
5, 36   , 5&6 , 21&22 , 21&22  
5, 37   , 13&14 , 3&4 , 23&24  
5, 38   , 47&48 , 51&52 , 45&46  
5, 39   , 27&28 , 45&46 , 3&4  
5, 40   , 47&48 , 49&50 , 27&28  
6, 1    , 25&26 , T3&T4 , 23&24  
6, 2    , 5&6 , 9&10 , 7&8  
6, 3    , 23&24 , 51&52 , 47&48  
6, 4    , 15&16 , 5&6 , 25&26  
6, 5    , 21&22 , T7&T8 , T3&T4  
6, 6    , 15&16 , 7&8 , 15&16  
6, 7    , 9&10 , 47&48 , 49&50  
6, 8    , 51&52 , 5&6 , 27&28  
6, 9    , 1&2 , 11&12 , 23&24  
6, 10   , 3&4 , 51&52 , 45&46  
6, 11   , 13&14 , 3&4 , 11&12  
6, 12   , 51&52 , 49&50 , 51&52  
6, 13   , T3&T4 , 23&24 , T5&T6  
6, 14   , 25&26 , 13&14 , 15&16  
6, 15   , 5&6 , 15&16 , 21&22  
6, 16   , 13&14 , T5&T6 , 5&6  
6, 17   , T1&T2 , T1&T2 , 9&10  
6, 18   , 23&24 , T3&T4 , 5&6  
6, 19   , 45&46 , T5&T6 , 47&48  
6, 20   , 47&48 , 1&2 , 45&46  
6, 21   , 1&2 , 27&28 , T7&T8  
6, 22   , 47&48 , 25&26 , 21&22  
6, 23   , 7&8 , 49&50 , T5&T6  
6, 24   , 21&22 , 27&28 , 1&2  
6, 25   , T7&T8 , 9&10 , 13&14  
6, 26   , T7&T8 , 1&2 , T3&T4  
6, 27   , 49&50 , 47&48 , 27&28  
6, 28   , T5&T6 , T1&T2 , T1&T2  
6, 29   , 9&10 , 3&4 , 3&4  
6, 30   , T1&T2 , T7&T8 , 25&26  
6, 31   , 11&12 , 45&46 , 11&12  
6, 32   , 27&28 , 25&26 , 1&2  
6, 33   , 49&50 , 15&16 , 49&50  
6, 34   , 27&28 , 21&22 , 51&52  
6, 35   , T5&T6 , 21&22 , 13&14  
6, 36   , 3&4 , 13&14 , 9&10  
6, 37   , 45&46 , 11&12 , T7&T8  
6, 38   , T3&T4 , 45&46 , 7&8  
6, 39   , 11&12 , 23&24 , T1&T2  
6, 40   , 7&8 , 7&8 , 3&4  
7, 1    , T1&T2 , 49&50 , 9&10  
7, 2    , 11&12 , 27&28 , 21&22  
7, 3    , T7&T8 , 47&48 , 9&10  
7, 4    , 5&6 , 9&10 , T7&T8  
7, 5    , 13&14 , 5&6 , T5&T6  
7, 6    , 15&16 , T1&T2 , 15&16  
7, 7    , 27&28 , 21&22 , 27&28  
7, 8    , T7&T8 , 1&2 , T5&T6  
7, 9    , 9&10 , 11&12 , 49&50  
7, 10   , 1&2 , 23&24 , 7&8  
7, 11   , 15&16 , 1&2 , 23&24  
7, 12   , 1&2 , T7&T8 , T7&T8  
7, 13   , 49&50 , 9&10 , 21&22  
7, 14   , 13&14 , 25&26 , T3&T4  
7, 15   , T3&T4 , 5&6 , 1&2  
7, 16   , 51&52 , T7&T8 , 49&50  
7, 17   , 23&24 , 7&8 , 3&4  
7, 18   , 25&26 , 11&12 , 15&16  
7, 19   , T3&T4 , 27&28 , 25&26  
7, 20   , 47&48 , 13&14 , 45&46  
7, 21   , 3&4 , T5&T6 , T1&T2  
7, 22   , 49&50 , 7&8 , 25&26  
7, 23   , 11&12 , 3&4 , 1&2  
7, 24   , 45&46 , 45&46 , 51&52  
7, 25   , 7&8 , 15&16 , 5&6  
7, 26   , 27&28 , T1&T2 , 51&52  
7, 27   , 3&4 , 3&4 , 7&8  
7, 28   , T5&T6 , 45&46 , 11&12  
7, 29   , T1&T2 , 51&52 , 45&46  
7, 30   , 7&8 , T3&T4 , T3&T4  
7, 31   , 47&48 , 15&16 , 11&12  
7, 32   , 25&26 , 51&52 , 27&28  
7, 33   , 9&10 , 25&26 , 3&4  
7, 34   , 45&46 , 23&24 , 47&48  
7, 35   , 23&24 , T5&T6 , 13&14  
7, 36   , 21&22 , 47&48 , T1&T2  
7, 37   , 5&6 , 13&14 , 13&14  
7, 38   , T5&T6 , 49&50 , 5&6  
7, 39   , 51&52 , 21&22 , 47&48  
7, 40   , 21&22 , T3&T4 , 23&24  
