Week,Team#,Match1,Match2,Match3
1, 1    , 11&12 , 7&8 , 25&26  
1, 2    , T7&T8 , 11&12 , 51&52  
1, 3    , 27&28 , 15&16 , T3&T4  
1, 4    , 21&22 , 49&50 , T7&T8  
1, 5    , 23&24 , 15&16 , T1&T2  
1, 6    , 1&2 , T1&T2 , 25&26  
1, 7    , 7&8 , 23&24 , 11&12  
1, 8    , 3&4 , 1&2 , T7&T8  
1, 9    , 51&52 , T7&T8 , 1&2  
1, 10   , 1&2 , 51&52 , T5&T6  
1, 11   , 15&16 , 53&54 , 47&48  
1, 12   , T5&T6 , 9&10 , 21&22  
1, 13   , 47&48 , 45&46 , 13&14  
1, 14   , 9&10 , 5&6 , 53&54  
1, 15   , 45&46 , 25&26 , 15&16  
1, 16   , 53&54 , T5&T6 , 7&8  
1, 17   , 47&48 , 27&28 , 9&10  
1, 18   , 13&14 , T3&T4 , 53&54  
1, 19   , 49&50 , 21&22 , 45&46  
1, 20   , 9&10 , 47&48 , 1&2  
1, 21   , 5&6 , 21&22 , 15&16  
1, 22   , 51&52 , 11&12 , 23&24  
1, 23   , T3&T4 , 13&14 , 45&46  
1, 24   , T7&T8 , T5&T6 , 49&50  
1, 25   , 27&28 , 25&26 , T1&T2  
1, 26   , 5&6 , 51&52 , 3&4  
1, 27   , 25&26 , 27&28 , 47&48  
1, 28   , T5&T6 , 7&8 , 3&4  
1, 29   , 21&22 , 1&2 , 49&50  
1, 30   , 13&14 , 53&54 , 5&6  
1, 31   , 23&24 , 47&48 , 21&22  
1, 32   , 3&4 , 5&6 , 9&10  
1, 33   , 7&8 , T7&T8 , 23&24  
1, 34   , T1&T2 , 49&50 , 51&52  
1, 35   , 45&46 , 9&10 , 27&28  
1, 36   , 25&26 , T3&T4 , T5&T6  
1, 37   , T3&T4 , 3&4 , 5&6  
1, 38   , 53&54 , 23&24 , 13&14  
1, 39   , 11&12 , 13&14 , T3&T4  
1, 40   , T1&T2 , 3&4 , 7&8  
1, 41   , 15&16 , 45&46 , 27&28  
1, 42   , 49&50 , T1&T2 , 11&12  
2, 1    , 9&10 , T1&T2 , 21&22  
